requests_count,dfs_backtrack,dfs_normal
16,13.623529411764705,12.920261437908497
9,8.761780104712042,8.616492146596858
22,15.446428571428571,14.46045918367347
24,15.967018469656992,14.978891820580476
8,7.908176100628931,7.818867924528302
2,2.0,2.0
20,15.201743462017435,14.251556662515567
5,5.0,5.0
4,4.0,4.0
19,14.800988875154511,13.867737948084054
3,3.0,3.0
25,16.179521276595743,15.273936170212766
23,16.1195219123506,15.156706507304117
18,14.395833333333334,13.592447916666666
15,12.952054794520548,12.283561643835617
14,12.508,11.978666666666667
7,6.968622100954979,6.942701227830832
1,1.0,1.0
10,9.60546875,9.37890625
11,10.353805073431241,10.064085447263018
13,11.886543535620053,11.41292875989446
17,14.04635761589404,13.295364238410595
21,15.365525672371637,14.446210268948656
26,16.486910994764397,15.587696335078535
12,11.124518613607188,10.735558408215661
6,5.998708010335918,5.9909560723514215
