requests_count,dfs_backtrack,dfs_normal
11,10.6,10.41875
20,13.611295681063122,12.548172757475083
9,8.806451612903226,8.720430107526882
25,17.337899543378995,16.552511415525114
29,17.9625,17.045833333333334
18,15.683760683760683,14.743589743589743
26,17.237354085603112,16.53696498054475
14,12.527272727272727,12.394805194805194
30,19.73913043478261,18.551839464882942
4,4.0,4.0
23,15.716417910447761,14.798507462686567
2,2.0,2.0
19,16.351190476190474,15.380952380952381
3,3.0,3.0
6,6.0,5.9801324503311255
12,11.414634146341463,11.166666666666666
15,13.905325443786982,13.615384615384615
24,19.26625386996904,18.058823529411764
22,16.174757281553397,15.197411003236246
13,12.467084639498433,12.16614420062696
5,5.0,5.0
7,6.991228070175438,6.982456140350878
16,14.25886524822695,13.556737588652481
21,18.302222222222223,17.275555555555556
1,1.0,1.0
17,14.207317073170731,13.869918699186991
27,17.0,16.064356435643564
8,7.863095238095238,7.815476190476191
28,18.689655172413794,17.637931034482758
10,9.93288590604027,9.889261744966444
