1,16,5,13,12,11,1.0909090909090908
2,9,2,17,9,9,1.0
3,22,10,23,16,16,1.0
4,24,14,16,14,13,1.0769230769230769
5,24,5,25,18,17,1.0588235294117647
6,8,10,15,8,8,1.0
7,2,8,3,2,2,1.0
8,20,3,18,17,16,1.0625
9,5,11,9,5,5,1.0
10,4,13,7,4,4,1.0
11,19,14,19,16,15,1.0666666666666667
12,3,11,5,3,3,1.0
13,4,3,7,4,4,1.0
14,25,7,13,13,13,1.0
15,23,9,14,14,14,1.0
16,18,8,17,15,14,1.0714285714285714
17,8,2,13,8,8,1.0
18,15,4,25,15,15,1.0
19,14,11,11,10,8,1.25
20,19,15,21,16,15,1.0666666666666667
21,25,13,25,18,17,1.0588235294117647
22,23,15,22,18,15,1.2
23,7,15,13,7,7,1.0
24,1,3,1,1,1,1.0
25,9,11,17,9,9,1.0
26,4,5,7,4,4,1.0
27,9,13,10,7,6,1.1666666666666667
28,7,3,10,7,7,1.0
29,4,9,7,4,4,1.0
30,3,7,5,3,3,1.0
31,25,11,22,19,18,1.0555555555555556
32,5,6,9,5,5,1.0
33,10,15,12,9,8,1.125
34,11,14,21,11,11,1.0
35,25,2,15,15,14,1.0714285714285714
36,20,11,16,14,13,1.0769230769230769
37,23,4,11,11,11,1.0
38,22,15,24,16,15,1.0666666666666667
39,23,8,20,17,15,1.1333333333333333
40,20,5,14,14,13,1.0769230769230769
41,13,3,10,10,10,1.0
42,13,2,15,12,12,1.0
43,20,11,26,19,19,1.0
44,23,12,13,13,11,1.1818181818181819
45,25,10,18,16,14,1.1428571428571428
46,5,4,9,5,5,1.0
47,4,15,7,4,4,1.0
48,10,14,19,10,10,1.0
49,5,10,9,5,5,1.0
50,4,11,7,4,4,1.0
51,3,8,5,3,3,1.0
52,17,12,22,15,15,1.0
53,15,13,13,12,10,1.2
54,10,10,19,10,10,1.0
55,13,12,15,11,9,1.2222222222222223
56,8,11,11,8,7,1.1428571428571428
57,19,4,26,19,19,1.0
58,9,6,11,8,8,1.0
59,17,14,14,13,12,1.0833333333333333
60,21,5,15,15,14,1.0714285714285714
61,18,3,13,13,13,1.0
62,16,5,17,14,14,1.0
63,26,6,24,23,21,1.0952380952380953
64,7,8,13,7,7,1.0
65,21,14,25,18,18,1.0
66,19,9,12,11,11,1.0
67,19,11,12,11,10,1.1
68,25,2,18,18,17,1.0588235294117647
69,12,10,20,12,11,1.0909090909090908
70,21,6,25,20,20,1.0
71,22,5,24,20,20,1.0
72,21,10,17,16,14,1.1428571428571428
73,20,11,23,19,17,1.1176470588235294
74,8,2,15,8,8,1.0
75,5,12,9,5,5,1.0
76,11,3,21,11,11,1.0
77,20,7,15,13,12,1.0833333333333333
78,4,6,7,4,4,1.0
79,2,4,3,2,2,1.0
80,18,13,23,16,15,1.0666666666666667
81,3,11,5,3,3,1.0
82,11,11,21,11,11,1.0
83,16,2,17,15,14,1.0714285714285714
84,25,12,26,22,20,1.1
85,5,11,9,5,5,1.0
86,12,6,13,12,11,1.0909090909090908
87,17,7,26,17,17,1.0
88,7,3,13,7,7,1.0
89,18,3,16,14,14,1.0
90,19,7,11,10,9,1.1111111111111112
91,1,2,1,1,1,1.0
92,2,12,3,2,2,1.0
93,1,9,1,1,1,1.0
94,4,9,7,4,4,1.0
95,26,12,23,18,17,1.0588235294117647
96,19,14,24,16,16,1.0
97,16,8,21,16,15,1.0666666666666667
98,17,8,21,15,14,1.0714285714285714
99,4,8,7,4,4,1.0
100,1,2,1,1,1,1.0
101,3,10,5,3,3,1.0
102,12,15,23,12,12,1.0
103,16,9,18,14,13,1.0769230769230769
104,20,8,26,20,19,1.0526315789473684
105,10,15,19,10,10,1.0
106,4,3,7,4,4,1.0
107,8,9,12,8,7,1.1428571428571428
108,6,5,11,6,6,1.0
109,8,6,15,8,8,1.0
110,17,12,25,17,15,1.1333333333333333
111,23,3,23,16,16,1.0
112,5,15,9,5,5,1.0
113,26,10,19,18,17,1.0588235294117647
114,18,12,22,16,15,1.0666666666666667
115,21,4,22,19,18,1.0555555555555556
116,11,5,14,9,8,1.125
117,10,15,17,10,10,1.0
118,10,5,14,10,10,1.0
119,19,14,17,13,12,1.0833333333333333
120,26,5,17,17,15,1.1333333333333333
121,14,4,24,14,14,1.0
122,7,13,12,7,6,1.1666666666666667
123,9,14,17,9,9,1.0
124,7,3,13,7,7,1.0
125,12,13,10,8,7,1.1428571428571428
126,21,14,11,10,10,1.0
127,19,15,11,9,9,1.0
128,10,13,19,10,10,1.0
129,18,5,17,14,14,1.0
130,8,4,15,8,8,1.0
131,24,4,11,11,11,1.0
132,6,10,11,6,6,1.0
133,26,7,21,20,19,1.0526315789473684
134,12,9,16,12,11,1.0909090909090908
135,9,9,11,6,6,1.0
136,7,9,13,7,7,1.0
137,20,4,14,14,12,1.1666666666666667
138,8,11,15,8,8,1.0
139,7,10,11,7,7,1.0
140,26,5,16,16,16,1.0
141,20,5,18,16,13,1.2307692307692308
142,22,5,21,19,18,1.0555555555555556
143,24,11,13,13,12,1.0833333333333333
144,18,15,11,9,8,1.125
145,2,5,3,2,2,1.0
146,14,8,12,10,10,1.0
147,17,8,21,16,15,1.0666666666666667
148,17,5,19,15,14,1.0714285714285714
149,23,9,26,19,17,1.1176470588235294
150,19,10,23,17,14,1.2142857142857142
151,2,13,3,2,2,1.0
152,23,4,20,19,18,1.0555555555555556
153,21,5,23,16,14,1.1428571428571428
154,20,9,24,19,18,1.0555555555555556
155,2,13,3,2,2,1.0
156,22,6,24,21,21,1.0
157,26,12,19,18,18,1.0
158,14,11,23,14,14,1.0
159,22,7,22,19,17,1.1176470588235294
160,13,11,25,13,13,1.0
161,18,4,17,15,13,1.1538461538461537
162,12,6,17,12,12,1.0
163,23,13,15,15,14,1.0714285714285714
164,10,4,18,10,10,1.0
165,26,10,26,21,20,1.05
166,18,4,13,13,12,1.0833333333333333
167,26,4,23,20,18,1.1111111111111112
168,25,2,26,22,22,1.0
169,25,8,12,12,11,1.0909090909090908
170,13,8,21,13,13,1.0
171,21,15,19,13,10,1.3
172,13,3,12,10,9,1.1111111111111112
173,8,8,14,8,8,1.0
174,16,3,15,12,12,1.0
175,8,9,13,8,8,1.0
176,1,8,1,1,1,1.0
177,7,4,13,7,7,1.0
178,5,5,9,5,5,1.0
179,7,14,13,7,7,1.0
180,21,4,20,19,18,1.0555555555555556
181,19,13,19,14,12,1.1666666666666667
182,14,7,24,14,14,1.0
183,1,15,1,1,1,1.0
184,11,2,16,10,10,1.0
185,25,9,21,20,19,1.0526315789473684
186,8,2,15,8,8,1.0
187,4,12,7,4,4,1.0
188,10,2,11,9,9,1.0
189,10,5,12,8,7,1.1428571428571428
190,7,8,13,7,7,1.0
191,24,12,14,14,13,1.0769230769230769
192,16,6,21,15,14,1.0714285714285714
193,24,12,26,21,19,1.105263157894737
194,16,4,11,11,10,1.1
195,14,10,12,10,9,1.1111111111111112
196,16,11,19,15,13,1.1538461538461537
197,23,12,24,21,20,1.05
198,20,11,19,16,16,1.0
199,3,4,5,3,3,1.0
200,10,9,19,10,10,1.0
201,25,3,10,10,10,1.0
202,13,2,22,13,13,1.0
203,6,8,10,6,6,1.0
204,16,4,22,16,16,1.0
205,24,13,22,18,16,1.125
206,24,2,26,24,24,1.0
207,18,10,20,15,14,1.0714285714285714
208,16,9,17,13,12,1.0833333333333333
209,13,9,14,10,10,1.0
210,19,10,14,13,12,1.0833333333333333
211,4,14,7,4,4,1.0
212,3,11,5,3,3,1.0
213,26,10,11,11,11,1.0
214,7,6,13,7,7,1.0
215,11,7,12,9,8,1.125
216,4,9,7,4,4,1.0
217,7,10,13,7,7,1.0
218,5,4,9,5,5,1.0
219,3,8,5,3,3,1.0
220,4,2,7,4,4,1.0
221,24,10,12,12,12,1.0
222,17,15,25,17,14,1.2142857142857142
223,6,2,11,6,6,1.0
224,24,14,10,10,8,1.25
225,15,6,13,11,11,1.0
226,22,15,22,16,15,1.0666666666666667
227,11,3,20,11,11,1.0
